tag, x, y, z
"Hotel Mercure", 565.66, 1144.57, 56.15
"Mercure", 542.91, 1137.50, 35.66
"Pawilon 2", 326.09, 377.70, 38.75
"Pawilon 5A", 250.57, 570.04, 45.81
"Pawilon 5", 294.38, 745.87, 50.36
"Pawilon 4", 377.77, 785.05, 47.52
"Pawilon 12 (Pałac Targowy)", 309.96, 509.66, 39.52
"Pawilon 10", 347.67, 667.14, 39.64
"Pawilon 1", 189.82, 253.84, 38.91
"Pawilon 13", 223.72, 507.40, 41.61
"Bistro Bar Kinga", 178.31, 1087.72, 38.90
"Globis", 583.86, 1231.30, 64.29
"Delta", 835.60, 570.10, 61.33
"Collegium Iuridicum", 781.72, 1058.03, 41.93
"Concordia Design", 516.19, 984.74, 44.91
"Dom Studencki Jowita", 463.48, 1023.43, 71.06
"Wieżowiec Zjednoczenia Przemysłu Ceramiki Budowlanej", 301.78, 1152.33, 74.90
"SP - Zwierzyniecka", 229.97, 1175.79, 35.82
"PCSS", 342.17, 1127.81, 49.47
"Pawilon 6", 219.67, 853.57, 48.14
"Pawilon 6A", 201.79, 727.36, 42.97
"Collegium im. prof. Józefa Chmiela", 151.96, 713.74, 47.66
"Pawilon 11", 390.27, 586.61, 44.56
"Dworzec Zachodni", 461.07, 373.12, 30.12
"Administracja MTP", 417.69, 460.55, 40.29
"Dworzec Letni", 615.99, 735.53, 30.19
"Dworzec autobusowy", 729.68, 460.04, 32.83
"Historyczna hala zajezdni", 183.46, 1229.80, 39.52
"Ruch", 407.91, 367.09, 30.62
"Muzeum Wiedzy o Środowisku", 147.03, 1003.97, 42.67
"Wyższa Szkoła Handlu i Usług", 321.59, 1085.40, 51.61
"Avenida Poznań", 622.98, 351.85, 30.55
"Pawilon Zwierząt Zmiennocieplnych", 150.19, 1115.61, 37.60
"Poznań Główny", 645.71, 476.84, 29.78
"U Gosi", 646.51, 878.77, 29.10
"Pawilon 3A (Hala Reprezentacyjna MTP)", 498.91, 837.88, 45.42
"Pawilon 3", 495.45, 716.43, 45.41
"Centrum Targowe", 449.63, 527.67, 48.52
"Pawilon 8A", 154.53, 463.42, 46.78
"Pawilon 8", 159.38, 532.81, 48.07
"Sheraton", 500.60, 940.26, 57.73
"World Trade Center Poznań", 316.52, 884.13, 58.04
"GPZ 'Jeżyce'", 155.33, 951.77, 41.83
"Kantor Bałtyk", 537.91, 963.78, 36.63
"Towarowa 39", 759.06, 571.90, 85.71
"Dom Technika NOT", 840.59, 1218.41, 40.08
"Collegium Minus", 840.05, 1082.92, 45.39
"Katedra i Zakład Mikrobiologii Lekarskiej UM", 834.47, 1169.02, 36.87
"Fort Colomb", 973.88, 603.31, 29.94
"Akademia Muzyczna im. Ignacego Jana Paderewskiego", 856.99, 973.86, 37.72
"Aula Nova", 910.98, 938.29, 41.89
"Angela", 1126.81, 1225.96, 29.51
"Ruch", 1123.93, 1223.94, 30.75
"Centrum Edukacyjne Usług Elektronicznych UEP", 897.06, 883.31, 39.84
"UEP - Budynek C", 898.11, 831.78, 39.86
"Uniwersytet Ekonomiczny", 1029.65, 868.28, 42.92
"Herbapol Poznań", 896.27, 753.07, 36.81
"Czerwiec '56", 958.78, 1064.31, 35.92
