tag, x, y, z
"Allfrukt", 1058.33, 620.74, 49.62
"Brännkyrkahallen", 442.68, 2014.32, 56.75
"Fiskhallen", 1215.12, 683.01, 38.62
"City Self-Storage Västberga", 898.42, 1578.41, 34.17
"Aspuddens akut- och planeringsboende", 145.07, 2345.82, 60.65
"Årsta gamla skola", 1147.85, 1853.31, 50.76
"Karbin", 581.34, 398.77, 53.37
"Shurgard Self-Storage", 995.05, 1763.85, 42.33
"Lantz järn och metall", 849.60, 1392.96, 34.23
"2home Stockholm South", 950.87, 560.01, 51.63
"Nyapostoliska kyrkan", 168.53, 1779.66, 67.64
"DHL", 621.92, 878.13, 36.86
"Västberga polishus", 220.06, 714.18, 46.13
"Bring Terminal Stockholm", 458.74, 476.21, 53.67
"Daisy's express", 212.54, 1058.25, 36.83
"Exclusive Cars", 604.61, 1261.70, 34.28
"Västberga gård", 434.40, 752.39, 40.26
"BUS", 704.57, 2260.80, 35.81
"Beundra", 1201.56, 1772.45, 105.21
"Stockholms Innebandycenter", 384.63, 2131.80, 44.09
"Tellusborgshallen", 625.95, 2020.45, 60.70
"Liljeholmshallen", 1021.90, 3156.83, 31.67
"Nybohovs vattenreservoar", 242.70, 2616.65, 73.40
"Stjärnhusen", 159.68, 3514.88, 32.02
"Färgkontoret", 708.22, 3207.11, 31.70
"Rålambshovs gård", 1022.30, 4649.22, 27.24
"Riksarkivet Marieberg", 901.37, 4620.87, 47.32
"Erlanderhuset", 795.24, 4585.67, 90.02
"Silvieberg 3", 688.81, 4595.84, 84.00
"Socialstyrelsen", 773.06, 4735.38, 44.20
"Annexet", 947.50, 4485.77, 20.64
"Triewalds malmgård", 655.66, 4443.43, 27.82
"Villa Adolfsberg", 250.04, 4520.60, 27.85
"Byggarnas Hus", 308.98, 4632.63, 60.15
"DN-Huset", 461.58, 4701.95, 63.22
"Betonggalleriet", 760.82, 3274.86, 23.82
"Marievik 27", 1255.66, 2723.52, 46.25
"Reimers malmgård", 1006.09, 3753.72, 24.58
"Nybohovsstationen", 943.05, 2586.44, 45.63
"De Förenade Kolsyrefabrikernas AB", 746.74, 3329.53, 29.00
"Förbandsfabriken", 653.20, 3313.53, 33.88
"Ångpannecentralen", 679.96, 3286.26, 29.16
"Nitrolackfabriken", 637.81, 3341.26, 24.09
"Charlottendal", 467.68, 3264.10, 26.88
"Träbåtssällskapet Skeppsmyran", 503.26, 3370.58, 21.96
"Förskolan Pyttsen", 499.75, 2500.65, 74.95
"Gröndals Båtklubb", 513.03, 3464.90, 19.30
"Liljeholmstorget Galleria", 871.41, 2670.25, 32.06
"Stora Katrinebergs gård", 1163.74, 3096.54, 26.50
"Toalett Långholmsbadet", 1031.95, 4060.85, 22.16
