tag, x, y, z
"Snickeriet", 1253.58, 2379.93, 58.61
"Höglagret", 1292.77, 2340.50, 60.77
"Pizzeria Lugano", 135.35, 575.30, 56.65
"Stora Mans", 411.38, 254.17, 57.73
"Långbro värdshus", 135.50, 489.11, 51.60
"Västertorps sim- och idrottshall", 518.52, 1640.48, 57.46
"Hägerstensåsens medborgarhus", 895.94, 2107.81, 76.63
"Långbro bakficka", 175.87, 374.11, 53.37
"Folkahemmet", 838.72, 755.36, 47.84
"Hägstensåsen 1:2", 794.51, 2286.37, 102.29
"Kollektivhuset Kombo", 655.03, 1893.22, 87.83
"20-24", 735.93, 3317.39, 28.78
"9-13", 718.08, 3233.64, 41.13
"Folkdansringens Hus", 1239.23, 4676.18, 48.94
"Spöksonaten 1", 795.05, 2763.06, 50.82
"Spöksonaten 1", 880.39, 2813.77, 49.88
"Hägerstens gård", 263.87, 3071.31, 48.33
"Parkeringsdäck B", 771.35, 3187.14, 24.23
"Parkeringsdäck A", 714.29, 3178.50, 26.32
"Dalbo båtsällskap", 503.89, 3285.38, 18.01
"Smedslättens gård", 261.71, 4640.85, 25.62
"Spöksonaten 1", 895.52, 2812.02, 69.01
"Essingeskolan", 1010.37, 4812.69, 59.14
"Essinge kyrka", 1282.71, 4791.14, 57.57
"Kalaset Strand", 947.79, 5621.94, 29.22
"V12", 165.92, 5702.15, 44.01
"Förskolan Essingebarnen", 989.36, 4861.13, 53.06
"Generatorn", 1326.01, 2269.97, 62.33
"Huvudfabriken", 1430.52, 2401.06, 66.32
"Solberga Prästgård", 2364.90, 431.43, 45.77
"Stockholm International Academy", 2266.27, 655.22, 65.03
"Västberga handel", 2103.92, 1726.46, 49.10
"Midsommargården", 1628.69, 2313.31, 56.11
"Panncentralen", 1321.88, 2408.67, 61.73
"Lurius", 1369.67, 2223.19, 82.98
"Telefonfabriken", 1460.98, 2278.85, 71.49
"Röda Stugans Gruppbostad", 1819.03, 2001.83, 53.24
"Lyckohjulet 5", 2368.91, 2095.80, 59.33
"Norra Flygeln", 1306.64, 178.90, 50.16
"Kavli", 2085.77, 386.03, 61.27
"Förskolan Eken", 2273.49, 607.26, 64.33
"Parkleken Kristallen", 2004.95, 1007.23, 57.15
"Brick", 2004.74, 2069.21, 78.20
"Affärsgymnasiet", 1911.65, 2205.90, 64.29
"Solberga sjukhem", 2411.99, 417.57, 53.89
"Skogsborg", 1507.65, 375.85, 48.99
"Hökmossens gård", 1300.11, 1358.65, 48.89
"Telefonplanshallen", 1676.27, 1899.37, 54.70
"Kämpetorpshallarna", 1732.60, 441.39, 39.84
"Karneolen", 1890.58, 1256.75, 64.25
"Karneolen", 1927.91, 1207.00, 63.44
"Panncentralen - Hantverkarnas Hus", 1868.43, 382.47, 47.78
"Gröndals sportklubb", 1950.19, 4127.38, 22.26
"Stjärnhusen", 2406.89, 4353.76, 32.32
"Uppenbarelsekyrkan", 1924.91, 2887.12, 67.80
"Gröndals kyrka", 2283.81, 4126.32, 28.38
"Aspuddens akut- och planeringsboende", 2393.33, 3184.68, 61.36
"Emmalund", 1839.84, 2980.92, 52.65
"Avanti Hotel", 1923.62, 2760.62, 64.83
"Terasshuset", 2313.99, 4201.94, 38.05
"Hövdingagården", 1696.89, 3418.29, 42.37
"Gula villan", 1462.56, 4063.35, 27.48
"Scoutborgen", 1865.04, 3893.64, 46.05
"C", 2317.70, 3676.36, 29.49
"A", 2331.15, 3637.37, 33.73
"B", 2294.80, 3745.52, 32.03
"Sankt Sigfrids kyrka", 2215.29, 3541.06, 42.71
"Vintervikshallen", 2113.04, 3723.44, 30.30
"Flora Apartments", 1975.04, 2822.72, 67.52
"Midsommarkransens skola", 2130.77, 2791.17, 58.19
"Brf. Essinge Kaj", 1933.35, 5119.70, 36.39
"Brf. Essinge Kaj", 1910.45, 5100.31, 37.40
"Sankt Mikaels och Alla Änglars kyrka", 1526.70, 4942.88, 51.84
"Peab", 2159.60, 5370.64, 24.66
"Essingegrillen", 2204.57, 5225.45, 43.33
"Vinkelhuset", 2047.17, 5437.57, 37.45
"Allfrukt", 3308.15, 1460.43, 49.21
"Fiskhallen", 3464.88, 1522.84, 39.13
